SHA,URL,Description/Commit Message,Categorized Refactoring 1,Categorized Refactoring 2,Categorized Refactoring 3,Categorized Refactoring 4,Categorized Refactoring 5,Categorized Refactoring 6,Tech Debt,Number of Refactorings,Number of Tech Debts Addressed,Library,Unnamed: 11,Unnamed: 12,Unnamed: 13
36c67ca7c42e9ff3153fd6d8a9957f97a55dbf1e,https://github.com/AnthusAI/Plexus/commit/36c67ca7c42e9ff3153fd6d8a9957f97a55dbf1e,opted for langchain_openai rather than langchain_community.chat_models,Changed Imports,,,,,,Maintainability,1.0,1.0,LangChain,,,
c24b8d2c2fc40913415a7883c87a5c8185a17a37,https://github.com/Mihai-Tirtara/HypochondriAI/commit/c24b8d2c2fc40913415a7883c87a5c8185a17a37,refactor the langchain service to follow clean code practices of top-down,Altered State Schema (messages),Altered agent architecture,,,,,Maintainability/Performance/Scalability,2.0,1.0,LangGraph,,,
ab5d0bcafc3930fb82ade557ed6e4b229414280d,https://github.com/rockc15/model-markets-playground/commit/ab5d0bcafc3930fb82ade557ed6e4b229414280d,refactors the code base to use runables by langchain,Runnable Sequence,,,,,,Maintainability,1.0,1.0,LangChain,,,
0a0f693ab93188fab7992f336983e26ce58a696c,https://github.com/Prajwalkadam29/code-genesis-shift-ea401119/commit/0a0f693ab93188fab7992f336983e26ce58a696c,"Refactor: Split LangChain service into smaller files This commit refactors the LangChain service code into smaller, more manageable files.",Graph Modularization,,,,,,Maintainability,1.0,1.0,LangChain,,,
1d2e9fe06b9a3d997f740104272bf77c109776a1,https://github.com/Bek85/pycode/commit/1d2e9fe06b9a3d997f740104272bf77c109776a1,refactor: modernize LangChain utilities to use current best practices,ChatPromptTemplate,,,,,,Maintainability/Reliability,1.0,2.0,LangChain,,,
ce68096815a8a0aaf164ebb6e2393c992910c520,https://github.com/zanekoch/EndPointApp/commit/ce68096815a8a0aaf164ebb6e2393c992910c520,optimize message handling by using LangChain objects throughout,Altered State Schema (messages),,,,,,Maintainability/Scalability/Performance,1.0,2.0,LangGraph,,,
dee52b14e5121c8e746e7a509cf65f8dd5c176f9,https://github.com/nickberens360/nickberens-astro/commit/dee52b14e5121c8e746e7a509cf65f8dd5c176f9,improve query routing with LangChain BaseRetriever,LangChain Objects,,,,,,Maintainability,1.0,1.0,LangChain,,,
e50b85ed673a2612bbec84ba3f211d6ab80f6dd6,https://github.com/TzviGreenfeld/ai-cv-agent/commit/e50b85ed673a2612bbec84ba3f211d6ab80f6dd6#diff-b5db45625e4c49352fa48a2b52c3896512fe36e206e0c536647a1e8d2901e313,"Refactor LangChain CV Agent: Enhance tool integration and improve YAML parsing, HTML generation, and report saving functionalities",Recursion Limit,Model Arguments,Tool Naming Conventions,Tool Decorator,,,Reliability/Understandability/Performance,2.0,2.0,LangChain,,,
8b79681d58b9a5553668b581332a3a17d5213676,https://github.com/bytewhisperer11/RAG-components/commit/8b79681d58b9a5553668b581332a3a17d5213676,refactor: update LLM initialization to use langchain.chat_models.init_chat_model interface,init_chat_model wrapper,,,,,,Maintainability,1.0,1.0,LangChain,,,
6779ffda3a8a21dec8afb5b57bfee345a8a19798,https://github.com/Yaswanth-Mitta/multi/commit/6779ffda3a8a21dec8afb5b57bfee345a8a19798,Fix conversational memory and LangChain processing - Improve follow-up question detection with more keywords - Fix LangChain newline formatting (remove double backslashes) - Enhance conversational response formatting - Better session management and memory persistence - Improved follow-up prompt engineering - Program restarts fresh when stopped and restarted,Context Trimming,,,,,,Performance/Cost,1.0,2.0,LangChain,,,
